route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
S40,MTA NYCT,S40,Richmond Terrace,St. George - Goethals Rd North,3,,9A258F,FFFFFF
S4090,MTA NYCT,S4090,Richmond Terrace,St. George - Goethals Rd North,3,,9A258F,FFFFFF
S42,MTA NYCT,S42,St. Marks Place / Jersey Street,St. George - Clyde Place,3,,00AEEF,FFFFFF
S4252,MTA NYCT,S4252,St. Marks Place / Jersey Street,St. George - Clyde Place,3,,00AEEF,FFFFFF
S44,MTA NYCT,S44,Richmond Avenue,St. George - Staten Island Mall,3,,FAA61A,FFFFFF
S4494,MTA NYCT,S4494,Richmond Avenue,St. George - Staten Island Mall,3,,FAA61A,FFFFFF
S46,MTA NYCT,S46,Castleton Avenue,St. George - West Shore Plaza,3,,006CB7,FFFFFF
S4696,MTA NYCT,S4696,Castleton Avenue,St. George - West Shore Plaza,3,,006CB7,FFFFFF
S48,MTA NYCT,S48,Forest Avenue,St. George - Mariners Harbor,3,,ED1C24,FFFFFF
S4898,MTA NYCT,S4898,Forest Avenue,St. George - Mariners Harbor,3,,ED1C24,FFFFFF
S51,MTA NYCT,S51,Bay Street / Father Capodanno Boulevard,St. George - West Shore Plaza,3,,006CB7,FFFFFF
S5181,MTA NYCT,S5181,Bay Street / Father Capodanno Boulevard,St. George - West Shore Plaza,3,,006CB7,FFFFFF
S52,MTA NYCT,S52,Tompkins Avenue / St Marks Place/Jersey Street ,St. George - Staten Island Univ. Hospital,3,,9A258F,FFFFFF
S53,MTA NYCT,S53,Verrazano-Narrows Bridge / Clove Road,Port Richmond - Bay Ridge,3,,ED1C24,FFFFFF
S5393,MTA NYCT,S5393,Verrazano-Narrows Bridge / Clove Road,Port Richmond - Bay Ridge,3,,ED1C24,FFFFFF
S54,MTA NYCT,S54,Manor Road,West New Brighton - Eltingville,3,,FAA61A,FFFFFF
S55,MTA NYCT,S55,Bloomingdale / Annadale Roads/Richmond Avenue,Rossville - Staten Island Mall,3,,FAA61A,FFFFFF
S56,MTA NYCT,S56,Richmond Avenue / Arthur Kill/Foster Roads,Huguenot - Staten Island Mall,3,,72BF44,FFFFFF
S57,MTA NYCT,S57,Rockland / Brielle/Bradley Avenues,Port Richmond - New Dorp,3,,72BF44,FFFFFF
S59,MTA NYCT,S59,Richmond Avenue,Port Richmond - Tottenville,3,,ED1C24,FFFFFF
S61,MTA NYCT,S61,Victory Boulevard / Bradley Avenue,St. George - Staten Island Mall,3,,ED1C24,FFFFFF
S6191,MTA NYCT,S6191,Victory Boulevard / Bradley Avenue,St. George - Staten Island Mall,3,,ED1C24,FFFFFF
S62,MTA NYCT,S62,Victory Boulevard,St. George - Travis,3,,9A258F,FFFFFF
